UEC,PlayerAlgorithm_UEC,PlayerAlgorithm_Cash,customer_flow1_UEC,customer_flow1_Cash,customer_flow2_UEC,customer_flow2_Cash,rev_UEC,rev_Cash,whale_UEC,whale_Cash,market_maker_UEC,market_maker_Cash,Loop,Realisation_UEC,Sentiment_UEC
1000.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1000.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0.0
1000.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0.0
999.4,0,0,-9,8982.0,-2,1996.0,0,0.0,0,0.0,11,-10978.0,3,0.0,0.0
999.4,0,0,-9,8982.0,-2,1996.0,0,0.0,0,0.0,11,-10978.0,4,0.0,0.0
997.2,0,0,-54,53835.0,-2,1996.0,0,0.0,0,0.0,56,-55831.0,5,0.0,0.0
997.2,0,0,-54,53835.0,-2,1996.0,0,0.0,0,0.0,56,-55831.0,6,0.0,0.0
997.2,0,0,-54,53835.0,-2,1996.0,0,0.0,0,0.0,56,-55831.0,7,0.0,0.0
997.2,0,0,-54,53835.0,-2,1996.0,0,0.0,0,0.0,56,-55831.0,8,0.0,0.0
997.2,0,0,-54,53835.0,-2,1996.0,0,0.0,0,0.0,56,-55831.0,9,0.0,0.0
996.3,0,0,-56,55825.4,-18,17919.2,0,0.0,0,0.0,74,-73744.6,10,0.0,0.0
996.8,0,0,-56,55825.4,-9,8934.500000000002,0,0.0,0,0.0,65,-64759.90000000001,11,0.0,0.0
996.8,0,0,-56,55825.4,-9,8934.500000000002,0,0.0,0,0.0,65,-64759.90000000001,12,0.0,0.0
998.2,0,0,-56,55825.4,21,-21039.5,0,0.0,0,0.0,35,-34785.90000000001,13,0.0,0.0
998.2,0,0,-56,55825.4,21,-21039.5,0,0.0,0,0.0,35,-34785.90000000001,14,0.0,0.0
1000.2,0,0,-18,17799.8,21,-21039.5,0,0.0,0,0.0,-3,3239.6999999999935,15,0.0,0.0
1000.2,0,0,-18,17799.8,21,-21039.5,0,0.0,0,0.0,-3,3239.6999999999935,16,0.0,0.0
1000.2,0,0,-18,17799.8,21,-21039.5,0,0.0,0,0.0,-3,3239.6999999999935,17,0.0,0.0
999.0,0,0,-41,40755.4,21,-21039.5,0,0.0,0,0.0,20,-19715.90000000001,18,0.0,0.0
999.0,0,0,-41,40755.4,21,-21039.5,0,0.0,0,0.0,20,-19715.90000000001,19,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,20,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,21,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,22,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,23,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,24,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,25,0.0,0.0
997.5,0,0,-41,40755.4,-8,7864.5,0,0.0,0,0.0,49,-48619.90000000001,26,0.0,0.0
998.4,0,0,-41,40755.4,8,-8127.5,0,0.0,0,0.0,33,-32627.90000000001,27,0.0,0.0
995.2,0,0,-41,40755.4,-55,54576.7,0,0.0,0,0.0,96,-95332.1,28,0.0,0.0
996.6,0,0,-13,12825.800000000001,-55,54576.7,0,0.0,0,0.0,68,-67402.5,29,0.0,0.0
994.9,0,0,-47,46628.200000000004,-55,54576.7,0,0.0,0,0.0,102,-101204.9,30,0.0,0.0
994.9,0,0,-47,46628.200000000004,-55,54576.7,0,0.0,0,0.0,102,-101204.9,31,0.0,0.0
994.9,0,0,-47,46628.200000000004,-55,54576.7,0,0.0,0,0.0,102,-101204.9,32,0.0,0.0
995.2,0,0,-35,34665.40000000001,-62,61527.0,0,0.0,0,0.0,97,-96192.4,33,0.0,0.0
995.2,0,0,-35,34665.40000000001,-62,61527.0,0,0.0,0,0.0,97,-96192.4,34,0.0,0.0
995.2,0,0,-35,34665.40000000001,-60,59532.6,0,0.0,0,0.0,95,-94198.0,35,0.0,0.0
995.2,0,0,-35,34665.40000000001,-60,59532.6,0,0.0,0,0.0,95,-94198.0,36,0.0,0.0
995.2,0,0,-35,34665.40000000001,-60,59532.6,0,0.0,0,0.0,95,-94198.0,37,0.0,0.0
995.2,0,0,-35,34665.40000000001,-61,60525.799999999996,0,0.0,0,0.0,96,-95191.2,38,0.0,0.0
995.2,0,0,-35,34665.40000000001,-60,59528.6,0,0.0,0,0.0,95,-94194.0,39,0.0,0.0
995.2,0,0,-35,34665.40000000001,-60,59528.6,0,0.0,0,0.0,95,-94194.0,40,0.0,0.0
1001.0,0,0,-35,34665.40000000001,56,-56426.600000000006,0,0.0,0,0.0,-21,21761.2,41,0.0,0.0
1001.0,0,0,-35,34665.40000000001,56,-56426.600000000006,0,0.0,0,0.0,-21,21761.2,42,0.0,0.0
1001.0,0,0,-35,34665.40000000001,56,-56426.600000000006,0,0.0,0,0.0,-21,21761.2,43,0.0,0.0
1003.3,0,0,-35,34665.40000000001,101,-101591.6,0,0.0,0,0.0,-66,66926.2,44,0.0,0.0
1003.3,0,0,-35,34665.40000000001,101,-101591.6,0,0.0,0,0.0,-66,66926.2,45,0.0,0.0
1003.3,0,0,-35,34665.40000000001,101,-101591.6,0,0.0,0,0.0,-66,66926.2,46,0.0,0.0
1003.3,0,0,-35,34665.40000000001,101,-101591.6,0,0.0,0,0.0,-66,66926.2,47,0.0,0.0
1004.9,0,0,-35,34665.40000000001,133,-133773.2,0,0.0,0,0.0,-98,99107.79999999999,48,0.0,0.0
1004.9,0,0,-35,34665.40000000001,133,-133773.2,0,0.0,0,0.0,-98,99107.79999999999,49,0.0,0.0
1007.4,0,0,14,-14710.699999999992,133,-133773.2,0,0.0,0,0.0,-147,148483.9,50,0.0,0.0
1007.4,0,0,14,-14710.699999999992,133,-133773.2,0,0.0,0,0.0,-147,148483.9,51,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,52,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,53,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,54,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,55,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,56,0.0,0.0
1007.4,0,0,14,-14710.699999999992,134,-134782.6,0,0.0,0,0.0,-148,149493.3,57,0.0,0.0
1006.6,0,0,14,-14710.699999999992,119,-119701.6,0,0.0,0,0.0,-133,134412.3,58,0.0,0.0
1006.6,0,0,14,-14710.699999999992,119,-119701.6,0,0.0,0,0.0,-133,134412.3,59,0.0,0.0
1006.6,0,0,14,-14710.699999999992,119,-119701.6,0,0.0,0,0.0,-133,134412.3,60,0.0,0.0
1009.0,0,0,62,-63159.49999999999,119,-119701.6,0,0.0,0,0.0,-181,182861.09999999998,61,0.0,0.0
1009.2,0,0,62,-63159.49999999999,123,-123745.6,0,0.0,0,0.0,-185,186905.09999999998,62,0.0,0.0
1009.2,0,0,62,-63159.49999999999,123,-123745.6,0,0.0,0,0.0,-185,186905.09999999998,63,0.0,0.0
1009.2,0,0,62,-63159.49999999999,123,-123745.6,0,0.0,0,0.0,-185,186905.09999999998,64,0.0,0.0
1009.0,0,0,62,-63159.49999999999,118,-118709.6,0,0.0,0,0.0,-180,181869.09999999998,65,0.0,0.0
1009.4,0,0,62,-63159.49999999999,126,-126797.6,0,0.0,0,0.0,-188,189957.09999999998,66,0.0,0.0
1009.4,0,0,62,-63159.49999999999,126,-126797.6,0,0.0,0,0.0,-188,189957.09999999998,67,0.0,0.0
1009.4,0,0,62,-63159.49999999999,126,-126797.6,0,0.0,0,0.0,-188,189957.09999999998,68,0.0,0.0
1009.9,0,0,72,-73273.5,126,-126797.6,0,0.0,0,0.0,-198,200071.09999999998,69,0.0,0.0
1007.1,0,0,16,-16883.1,126,-126797.6,0,0.0,0,0.0,-142,143680.69999999998,70,0.0,0.0
1009.6,0,0,58,-59289.299999999996,135,-135897.5,0,0.0,0,0.0,-193,195186.8,71,0.0,0.0
1010.2,0,0,58,-59289.299999999996,147,-148036.7,0,0.0,0,0.0,-205,207326.0,72,0.0,0.0
1010.2,0,0,58,-59289.299999999996,146,-147028.5,0,0.0,0,0.0,-204,206317.8,73,0.0,0.0
1010.2,0,0,58,-59289.299999999996,146,-147028.5,0,0.0,0,0.0,-204,206317.8,74,0.0,0.0
1009.8,0,0,58,-59289.299999999996,139,-139971.1,0,0.0,0,0.0,-197,199260.4,75,0.0,0.0
1009.4,0,0,58,-59289.299999999996,129,-129893.1,0,0.0,0,0.0,-187,189182.4,76,0.0,0.0
1009.4,0,0,58,-59289.299999999996,129,-129893.1,0,0.0,0,0.0,-187,189182.4,77,0.0,0.0
1009.4,0,0,58,-59289.299999999996,129,-129893.1,0,0.0,0,0.0,-187,189182.4,78,0.0,0.0
1009.4,0,0,58,-59289.299999999996,129,-129893.1,0,0.0,0,0.0,-187,189182.4,79,0.0,0.0
1009.4,0,0,58,-59289.299999999996,129,-129893.1,0,0.0,0,0.0,-187,189182.4,80,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,81,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,82,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,83,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,84,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,85,0.0,0.0
1007.0,0,0,12,-12980.899999999996,129,-129893.1,0,0.0,0,0.0,-141,142874.0,86,0.0,0.0
1007.3,0,0,17,-18025.899999999994,129,-129893.1,0,0.0,0,0.0,-146,147919.0,87,0.0,0.0
1007.3,0,0,17,-18025.899999999994,129,-129893.1,0,0.0,0,0.0,-146,147919.0,88,0.0,0.0
1009.4,0,0,17,-18025.899999999994,172,-173319.0,0,0.0,0,0.0,-189,191344.9,89,0.0,0.0
1010.4,0,0,37,-38253.899999999994,172,-173319.0,0,0.0,0,0.0,-209,211572.9,90,0.0,0.0
1010.3,0,0,34,-35228.7,172,-173319.0,0,0.0,0,0.0,-206,208547.69999999998,91,0.0,0.0
1007.4,0,0,34,-35228.7,114,-114893.6,0,0.0,0,0.0,-148,150122.3,92,0.0,0.0
1007.4,0,0,34,-35228.7,114,-114893.6,0,0.0,0,0.0,-148,150122.3,93,0.0,0.0
1007.4,0,0,34,-35228.7,114,-114893.6,0,0.0,0,0.0,-148,150122.3,94,0.0,0.0
1006.9,0,0,34,-35228.7,104,-104839.6,0,0.0,0,0.0,-138,140068.3,95,0.0,0.0
1009.0,0,0,63,-64495.799999999996,116,-116959.4,0,0.0,0,0.0,-179,181455.19999999998,96,0.0,0.0
1009.0,0,0,63,-64495.799999999996,116,-116959.4,0,0.0,0,0.0,-179,181455.19999999998,97,0.0,0.0
1008.9,0,0,63,-64495.799999999996,115,-115952.4,0,0.0,0,0.0,-178,180448.19999999998,98,0.0,0.0
1009.8,0,0,63,-64495.799999999996,132,-133137.69999999998,0,0.0,0,0.0,-195,197633.49999999997,99,0.0,0.0
1009.7,0,0,62,-63487.99999999999,132,-133137.69999999998,0,0.0,0,0.0,-194,196625.69999999998,100,0.0,0.0
1009.7,0,0,62,-63487.99999999999,132,-133137.69999999998,0,0.0,0,0.0,-194,196625.69999999998,101,0.0,0.0
1009.7,0,0,62,-63487.99999999999,132,-133137.69999999998,0,0.0,0,0.0,-194,196625.69999999998,102,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,103,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,104,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,105,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,106,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,107,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,108,0.0,0.0
1007.8,0,0,62,-63487.99999999999,93,-93856.39999999998,0,0.0,0,0.0,-155,157344.4,109,0.0,0.0
1004.4,0,0,24,-25285.599999999995,64,-64751.199999999975,0,0.0,0,0.0,-88,90036.79999999999,110,0.0,0.0
1006.4,0,0,24,-25285.599999999995,104,-105027.19999999998,0,0.0,0,0.0,-128,130312.79999999999,111,0.0,0.0
1006.4,0,0,24,-25285.599999999995,104,-105027.19999999998,0,0.0,0,0.0,-128,130312.79999999999,112,0.0,0.0
1009.1,0,0,24,-25285.599999999995,158,-159528.8,0,0.0,0,0.0,-182,184814.4,113,0.0,0.0
1009.1,0,0,24,-25285.599999999995,158,-159528.8,0,0.0,0,0.0,-182,184814.4,114,0.0,0.0
1009.1,0,0,24,-25285.599999999995,158,-159528.8,0,0.0,0,0.0,-182,184814.4,115,0.0,0.0
1009.1,0,0,24,-25285.599999999995,158,-159528.8,0,0.0,0,0.0,-182,184814.4,116,0.0,0.0
1008.8,0,0,24,-25285.599999999995,152,-153486.19999999998,0,0.0,0,0.0,-176,178771.8,117,0.0,0.0
1010.2,0,0,52,-53595.99999999999,152,-153486.19999999998,0,0.0,0,0.0,-204,207082.19999999998,118,0.0,0.0
1010.2,0,0,52,-53595.99999999999,152,-153486.19999999998,0,0.0,0,0.0,-204,207082.19999999998,119,0.0,0.0
1012.9,0,0,52,-53595.99999999999,206,-208192.99999999997,0,0.0,0,0.0,-258,261788.99999999997,120,0.0,0.0
1014.8,0,0,101,-103364.1,195,-197073.09999999998,0,0.0,0,0.0,-296,300437.19999999995,121,0.0,0.0
1013.8,0,0,101,-103364.1,176,-177829.89999999997,0,0.0,0,0.0,-277,281193.99999999994,122,0.0,0.0
1011.4,0,0,101,-103364.1,127,-128289.69999999997,0,0.0,0,0.0,-228,231653.79999999993,123,0.0,0.0
1011.4,0,0,101,-103364.1,127,-128289.69999999997,0,0.0,0,0.0,-228,231653.79999999993,124,0.0,0.0
1011.4,0,0,101,-103364.1,127,-128289.69999999997,0,0.0,0,0.0,-228,231653.79999999993,125,0.0,0.0
1011.4,0,0,101,-103364.1,127,-128289.69999999997,0,0.0,0,0.0,-228,231653.79999999993,126,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,127,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,128,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,129,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,130,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,131,0.0,0.0
1011.2,0,0,98,-100335.90000000001,127,-128289.69999999997,0,0.0,0,0.0,-225,228625.59999999992,132,0.0,0.0
1010.8,0,0,98,-100335.90000000001,118,-119206.89999999997,0,0.0,0,0.0,-216,219542.79999999993,133,0.0,0.0
1011.1,0,0,98,-100335.90000000001,124,-125283.69999999997,0,0.0,0,0.0,-222,225619.59999999992,134,0.0,0.0
1010.6,0,0,98,-100335.90000000001,115,-116201.79999999997,0,0.0,0,0.0,-213,216537.69999999992,135,0.0,0.0
1008.7,0,0,69,-71095.50000000001,105,-106125.79999999997,0,0.0,0,0.0,-174,177221.29999999993,136,0.0,0.0
1008.7,0,0,69,-71095.50000000001,105,-106125.79999999997,0,0.0,0,0.0,-174,177221.29999999993,137,0.0,0.0
1008.7,0,0,69,-71095.50000000001,105,-106125.79999999997,0,0.0,0,0.0,-174,177221.29999999993,138,0.0,0.0
